Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Label
67.75,5.5,13.0,1,0,1,1,1,1,1,2,2,9,10,1
18.08,6.75,0.04,0,140,1,1,0,0,0,2,1,4,7,0
19.5,0.29,0.29,0,280,365,1,0,0,0,2,2,4,4,0
22.08,11.46,1.585,0,100,1213,1,0,0,1,2,2,4,4,0
62.5,12.75,5.0,0,112,1,1,1,0,0,2,1,8,8,0
27.25,1.585,1.835,12,583,714,1,1,1,1,2,2,8,13,1
24.08,0.875,0.085,4,254,1951,1,0,1,0,2,2,4,7,0
47.33,6.5,1.0,0,0,229,1,0,0,1,2,2,4,8,0
19.5,0.165,0.04,0,380,1,0,0,0,1,2,2,4,11,0
19.33,10.915,0.585,2,200,8,1,0,1,1,2,2,5,8,0
22.75,11.0,2.5,7,100,810,1,1,1,1,2,2,4,11,1
23.33,1.5,1.415,0,422,201,1,1,0,0,2,2,8,8,1
48.5,4.25,0.125,0,225,1,1,1,0,1,2,2,4,7,1
27.67,2.04,0.25,0,180,51,0,0,0,1,2,2,4,9,0
36.58,0.29,0.0,10,200,19,0,0,1,0,2,2,1,1,0
56.0,12.5,8.0,0,24,2029,1,1,0,1,2,2,8,4,1
35.17,3.75,0.0,6,0,201,0,0,1,0,2,2,1,1,0
21.92,0.54,0.04,1,840,60,1,1,1,1,2,1,4,14,1
20.67,0.415,0.125,0,0,45,1,0,0,0,2,2,4,8,0
34.92,5.0,7.5,6,0,1001,1,1,1,1,2,2,8,14,1
40.58,5.0,5.0,7,0,3066,1,1,1,0,2,2,4,8,1
25.5,0.375,0.25,3,260,15109,1,1,1,0,2,2,4,7,1
25.67,2.21,4.0,0,188,1,1,1,0,0,2,1,4,6,0
17.58,10.0,0.165,1,120,2,1,0,1,0,2,2,8,9,0
24.42,2.0,0.165,2,320,1301,1,0,1,0,2,2,2,10,0
19.0,0.0,0.0,4,45,2,1,0,1,0,2,1,1,1,0
32.33,3.5,0.5,0,232,1,1,0,0,1,2,2,4,4,0
23.75,0.71,0.25,1,240,5,0,0,1,1,2,2,4,9,0
36.67,3.25,9.0,0,102,640,1,1,0,1,2,2,8,11,1
35.17,2.5,4.5,7,150,1271,1,1,1,0,2,2,4,4,1
43.17,2.25,0.75,0,560,1,1,1,0,0,2,2,5,3,0
21.42,0.75,0.75,0,132,3,1,0,0,1,2,1,7,12,0
20.67,5.29,0.375,1,160,1,1,1,1,0,2,2,4,11,0
26.92,13.5,5.0,2,0,5001,0,1,1,0,2,2,8,11,1
24.83,4.5,1.0,0,360,7,0,0,0,1,2,2,4,9,0
25.0,12.33,3.5,6,400,459,0,1,1,0,2,2,8,13,1
29.58,4.75,2.0,1,460,69,1,0,1,1,2,2,4,7,0
26.17,0.835,1.165,0,100,1,1,0,0,0,2,2,4,13,0
31.57,0.625,0.25,0,380,2011,1,0,0,0,2,2,4,4,0
49.17,2.29,0.29,0,200,4,1,0,0,0,2,2,1,1,0
39.17,1.625,1.5,10,186,4701,1,1,1,0,2,2,4,8,1
25.58,0.335,3.5,0,340,1,1,0,0,1,2,2,8,4,0
19.42,7.25,0.04,1,100,2,1,0,1,0,2,2,4,7,0
24.58,13.5,0.0,0,184,1,1,0,0,0,2,1,1,1,0
44.25,11.0,1.5,0,0,1,1,1,0,0,1,1,4,2,0
43.0,0.29,1.75,8,100,376,1,1,1,0,2,1,8,13,1
25.75,0.75,0.25,0,349,24,1,1,0,0,2,2,5,8,1
44.83,7.0,1.625,0,160,3,1,0,0,0,2,1,4,8,0
40.33,8.125,0.165,2,184,19,0,0,1,0,2,1,4,4,0
31.25,2.835,0.0,5,176,147,1,0,1,0,2,2,1,1,0
16.92,0.5,0.165,6,240,36,0,0,1,1,2,2,4,3,0
23.58,1.79,0.54,0,136,2,1,0,0,1,2,2,4,8,0
42.83,1.25,13.875,1,352,113,1,0,1,1,2,2,4,7,0
30.67,2.5,2.25,0,340,1,1,0,0,1,1,2,8,13,0
33.17,1.0,0.75,7,340,4072,1,1,1,1,2,2,4,14,1
34.92,2.5,0.0,0,239,201,1,1,0,1,2,2,4,9,1
51.33,10.0,0.0,11,0,1250,1,1,1,0,2,2,5,3,1
23.58,0.585,0.125,0,120,88,0,0,0,0,2,1,1,1,0
20.0,11.045,2.0,0,136,1,1,0,0,1,2,2,4,8,0
48.17,3.5,3.5,0,230,1,1,1,0,0,1,2,4,6,1
31.0,2.085,0.085,0,300,1,1,0,0,0,2,2,4,8,0
21.83,11.0,0.29,6,121,1,1,1,1,0,2,2,4,14,1
47.83,4.165,0.085,0,520,1,1,0,0,1,2,2,5,14,0
20.42,7.5,1.5,1,160,235,0,1,1,0,2,2,4,4,1
48.75,8.5,12.5,9,181,1656,1,1,1,0,2,2,8,8,1
18.58,10.0,0.415,0,80,43,0,0,0,0,2,2,4,2,0
22.92,0.17,0.085,0,0,1,1,0,0,0,1,2,4,7,0
30.08,1.04,0.5,10,132,29,1,1,1,1,2,1,5,3,0
39.33,5.875,10.0,14,399,1,1,1,1,1,2,2,8,13,1
22.25,9.0,0.085,0,0,1,1,0,0,0,2,2,4,6,0
18.92,9.0,0.75,2,88,592,0,1,1,0,2,2,4,6,1
41.17,1.25,0.25,0,0,196,1,0,0,0,2,1,4,9,0
35.0,3.375,8.29,0,0,1,1,0,0,1,2,2,8,8,0
23.42,0.79,1.5,2,80,401,0,1,1,1,2,1,4,11,1
20.75,10.25,0.71,2,49,1,0,1,1,1,2,2,4,11,1
34.83,4.0,12.5,0,184,1,1,1,0,1,2,2,5,2,0
34.08,6.5,0.125,0,443,1,1,1,0,1,2,2,4,6,0
31.75,3.0,0.0,0,160,21,0,0,0,0,2,1,3,5,0
41.42,5.0,5.0,6,470,1,1,1,1,1,2,2,8,11,1
34.17,5.25,0.085,0,290,7,1,0,0,1,2,2,4,9,1
50.75,0.585,0.0,0,145,1,1,0,0,0,2,2,1,1,0
31.08,3.085,2.5,2,160,42,1,0,1,1,2,2,4,8,0
28.92,15.0,5.335,11,0,2284,1,1,1,0,2,2,8,8,1
26.58,2.54,0.0,0,180,61,0,0,0,1,2,1,1,1,0
44.17,6.665,7.375,3,0,1,0,1,1,1,2,2,4,11,1
25.08,1.71,1.665,1,395,21,1,1,1,1,2,2,4,14,1
20.67,0.835,2.0,0,240,1,1,0,0,1,1,1,4,8,0
52.83,15.0,5.5,14,0,2201,0,1,1,0,2,2,4,8,1
25.75,0.5,0.875,0,491,1,0,1,0,1,2,2,8,8,1
36.17,0.42,0.29,0,309,3,1,0,0,1,2,1,4,9,0
25.42,1.125,1.29,2,200,1,0,1,1,0,2,2,4,11,0
40.58,3.29,3.5,0,400,1,1,0,0,1,1,2,4,7,0
33.75,0.75,1.0,3,212,1,0,1,1,1,2,2,5,4,0
26.25,1.54,0.125,0,100,1,1,0,0,0,2,2,4,9,0
28.58,1.665,2.415,0,440,1,0,1,0,1,2,2,4,11,0
26.75,2.0,0.75,0,80,1,1,0,0,1,2,2,4,2,0
20.75,10.335,0.335,1,80,51,0,1,1,1,2,2,8,13,1
21.75,11.75,0.25,0,180,1,0,0,0,1,2,2,4,8,0
33.0,2.5,7.0,0,280,1,1,0,0,1,2,1,4,9,0
21.25,1.5,1.5,0,150,9,1,0,0,0,2,2,4,9,1
22.08,2.335,0.75,0,180,1,1,0,0,0,2,2,4,4,0
24.58,1.25,0.25,0,110,1,1,0,0,0,2,2,4,8,0
31.57,5.0,8.5,0,0,1,1,1,0,0,2,1,4,6,0
22.25,0.46,0.125,0,280,56,1,0,0,1,2,2,4,4,0
26.92,2.25,0.5,0,640,4001,1,0,0,1,2,2,5,3,0
18.5,2.0,1.5,2,120,301,1,1,1,0,2,2,4,3,1
21.67,1.165,2.5,1,180,21,1,1,1,0,2,1,4,4,0
30.58,10.665,0.085,12,129,4,0,0,1,1,2,2,8,11,0
21.92,11.665,0.085,0,320,6,0,0,0,0,2,2,8,4,0
38.33,4.415,0.125,0,160,1,0,0,0,0,2,2,4,8,0
22.5,8.5,1.75,10,80,991,0,1,1,0,2,2,4,11,0
23.17,11.125,0.46,1,100,1,1,1,1,0,2,2,8,14,1
41.58,1.04,0.665,0,240,238,0,0,0,0,2,2,4,6,0
16.25,0.835,0.085,0,200,1,1,1,0,0,1,2,4,7,0
23.25,5.875,3.17,10,120,246,0,1,1,0,2,2,4,11,1
25.25,12.5,1.0,0,180,1063,0,0,0,1,2,2,4,2,0
27.75,1.29,0.25,0,140,1,1,0,0,1,1,2,8,4,0
59.67,1.54,0.125,0,260,1,1,1,0,1,2,2,4,11,1
23.08,2.5,1.085,11,60,2185,1,1,1,1,2,2,4,8,1
31.57,4.0,5.0,3,290,2280,1,1,1,1,2,2,4,14,1
35.17,4.5,5.75,0,711,1,1,0,0,1,1,2,8,14,1
19.67,0.375,2.0,2,80,1,1,1,1,1,2,2,4,11,1
65.42,11.0,20.0,7,22,1,1,1,1,1,2,2,9,10,1
17.5,22.0,0.0,0,450,100001,1,0,0,1,3,3,7,1,1
28.42,3.5,0.835,0,280,1,0,1,0,0,1,2,4,9,1
36.33,3.79,1.165,0,200,1,1,1,0,1,2,2,4,9,0
24.75,0.54,1.0,0,120,2,1,0,0,1,2,2,4,7,0
18.08,5.5,0.5,0,80,1,1,1,0,0,2,2,4,4,1
34.08,2.5,1.0,0,460,17,1,0,0,0,2,2,4,8,0
47.25,0.75,2.75,1,333,893,0,1,1,0,2,2,8,11,1
52.42,1.5,3.75,0,0,351,1,0,0,1,2,2,4,2,0
27.75,0.585,0.25,2,260,501,1,1,1,0,2,1,4,13,1
57.58,2.0,6.5,1,0,11,0,0,1,0,2,2,1,1,0
76.75,22.29,12.75,1,0,110,1,1,1,1,2,2,9,10,1
37.75,7.0,11.5,7,300,6,1,1,1,1,2,2,8,11,0
27.25,0.29,0.125,1,272,109,0,0,1,1,2,2,8,7,0
18.25,0.165,0.25,0,280,1,1,0,0,1,1,2,4,2,0
20.08,0.125,1.0,1,240,769,0,0,1,0,2,2,4,11,1
25.17,3.5,0.625,7,0,7060,1,1,1,0,2,2,4,13,1
23.58,0.835,0.085,0,220,6,1,0,0,1,2,2,8,3,0
22.67,0.79,0.085,0,144,1,0,0,0,0,2,2,4,3,0
31.57,0.375,0.875,0,928,1,1,1,0,1,1,2,4,2,0
25.0,11.25,2.5,17,200,1209,1,1,1,0,2,2,4,8,1
21.67,11.5,0.0,11,0,1,0,1,1,1,2,1,3,5,1
45.33,1.0,0.125,0,263,1,0,0,0,1,2,2,4,11,0
55.75,7.08,6.75,3,100,51,0,1,1,1,2,2,8,4,0
24.08,0.5,1.25,1,0,679,0,1,1,0,2,2,8,11,1
23.0,0.75,0.5,0,320,1,1,1,0,1,1,2,4,7,0
15.75,0.375,1.0,0,120,19,0,0,0,0,2,2,4,8,0
55.92,11.5,5.0,5,0,8852,1,1,1,0,2,2,1,1,1
42.17,5.04,12.75,0,92,1,1,1,0,1,2,2,8,11,1
26.17,2.0,0.0,0,276,2,0,0,0,1,2,2,3,5,0
49.5,7.585,7.585,15,0,5001,1,1,1,1,2,2,5,3,1
56.5,16.0,0.0,15,0,248,0,1,1,0,2,2,1,5,1
25.17,2.875,0.875,0,360,1,0,1,0,0,2,2,8,14,1
49.0,1.5,0.0,0,100,28,0,1,0,1,2,2,3,5,0
50.25,0.835,0.5,0,240,118,0,0,0,1,2,2,4,6,0
36.75,4.71,0.0,0,160,1,0,0,0,0,2,2,1,1,0
27.17,1.25,0.0,1,92,301,0,0,1,0,2,2,1,1,0
17.08,0.25,0.335,4,160,9,1,0,1,0,2,2,4,11,0
23.17,0.0,0.085,0,0,1,1,1,0,0,2,2,4,13,1
22.92,1.25,0.25,0,120,810,0,0,0,1,2,2,4,11,0
35.42,12.0,14.0,8,0,6591,0,1,1,0,2,2,8,11,1
15.83,0.585,1.5,2,100,1,0,1,1,0,2,2,8,8,1
35.0,2.5,1.0,0,210,1,1,0,0,1,2,2,4,3,0
29.83,2.04,0.04,0,128,2,1,0,0,0,2,1,8,14,0
27.67,0.75,0.165,0,220,252,1,0,0,1,2,2,8,11,0
18.83,9.5,1.625,6,40,601,0,1,1,1,2,2,4,9,1
47.75,8.0,7.875,6,0,1261,0,1,1,1,2,2,4,8,1
30.17,0.5,1.75,11,32,541,1,1,1,0,2,2,4,8,1
38.25,6.0,1.0,0,0,1,0,1,0,1,2,2,4,4,1
30.75,1.585,0.585,0,0,1,1,0,0,1,1,2,4,2,0
24.92,1.25,0.0,0,80,1,0,1,0,0,2,2,1,1,0
21.08,10.085,1.25,0,260,1,1,0,0,0,2,1,8,10,0
43.08,0.375,0.375,8,300,163,1,1,1,1,2,1,4,8,1
21.5,11.5,0.5,0,100,69,1,1,0,1,2,2,4,3,0
31.25,3.75,0.625,9,181,1,0,1,1,1,2,2,8,13,1
47.42,3.0,13.875,2,519,1705,0,1,1,1,2,2,4,14,1
20.17,8.17,1.96,14,60,159,1,1,1,0,2,2,4,6,1
23.08,11.5,2.125,11,290,285,1,1,1,1,2,2,8,9,1
31.92,4.46,6.04,3,311,301,1,1,1,0,2,2,8,13,1
15.92,2.875,0.085,0,120,1,0,0,0,0,2,2,4,11,0
26.67,2.71,5.25,1,211,1,1,1,1,0,2,1,4,13,1
23.25,1.5,2.375,3,0,583,1,1,1,1,2,2,4,11,1
39.5,4.25,6.5,16,117,1211,1,1,1,0,2,2,5,8,1
37.33,6.5,4.25,12,93,1,1,1,1,1,2,2,8,7,1
53.92,9.625,8.665,5,0,1,1,1,1,0,2,2,4,10,1
20.42,0.835,1.585,1,0,1,0,1,1,0,2,2,4,11,1
33.67,0.375,0.375,0,300,45,0,0,0,0,2,2,4,13,1
20.42,10.5,0.0,0,154,33,0,0,0,1,2,1,8,14,0
24.33,2.5,4.5,0,200,457,0,0,0,0,2,1,5,3,0
25.0,11.0,4.5,0,120,1,0,1,0,0,2,1,4,6,0
34.42,1.335,0.125,0,440,4501,1,0,0,1,2,2,5,3,0
19.58,0.665,1.665,0,220,6,0,0,0,0,2,2,4,9,0
40.33,7.54,8.0,14,0,2301,0,1,1,0,2,1,8,11,1
25.25,13.5,2.0,1,200,2,0,0,1,1,2,1,1,1,0
21.17,0.0,0.5,0,0,1,1,0,0,1,1,2,4,8,0
20.17,5.625,1.71,0,120,1,1,1,0,0,1,2,4,9,1
18.83,0.0,0.665,0,160,2,1,0,0,0,2,2,4,11,0
37.17,4.0,5.0,0,280,1,1,1,0,1,1,2,5,8,0
23.58,0.83,0.415,1,200,12,0,0,1,1,2,2,4,11,0
16.33,4.085,0.415,0,120,1,1,0,0,1,2,2,8,3,0
16.33,2.75,0.665,1,80,22,1,0,1,0,2,2,4,6,0
62.75,7.0,0.0,0,0,13,1,0,0,0,2,2,9,10,0
20.33,10.0,1.0,4,50,1466,0,1,1,0,2,2,8,8,1
33.17,3.165,3.165,3,380,1,1,1,1,1,2,1,4,14,1
23.08,0.0,1.0,11,0,1,1,0,1,0,1,2,4,4,0
29.67,0.75,0.04,0,240,1,1,0,0,0,2,1,4,8,0
26.75,1.125,1.25,0,0,5299,1,1,0,0,2,2,8,14,1
26.5,2.71,0.085,0,80,1,0,0,0,0,1,1,4,8,0
19.17,4.0,1.0,0,360,1001,1,0,0,1,2,1,4,3,0
47.67,0.29,15.0,20,0,15001,1,1,1,0,2,2,5,8,1
24.08,9.0,0.25,0,0,1,1,0,0,1,2,2,4,6,0
26.0,1.0,1.75,0,280,1,1,1,0,1,2,2,4,11,1
36.17,18.125,0.085,0,320,3553,1,0,0,0,2,2,4,9,0
27.33,1.665,0.0,0,340,2,0,0,0,0,2,2,1,1,0
28.58,3.54,0.5,0,171,1,0,1,0,1,2,2,5,3,0
27.83,1.54,3.75,5,100,4,1,1,1,1,2,2,4,9,1
30.0,5.29,2.25,5,99,501,0,1,1,1,2,2,2,10,1
34.25,1.75,0.25,0,163,1,1,1,0,1,2,2,5,9,0
23.75,12.0,2.085,0,80,1,1,0,0,0,1,2,4,8,0
19.42,6.5,1.46,7,80,2955,1,1,1,0,2,2,8,9,1
22.83,3.0,1.29,1,260,801,1,1,1,0,2,2,4,7,1
37.5,0.835,0.04,0,120,6,1,0,0,0,2,2,4,10,0
33.58,0.335,0.085,0,180,1,1,0,0,0,2,1,4,13,0
32.67,5.5,5.5,12,408,1001,1,1,1,1,2,2,8,11,1
39.92,0.54,0.5,3,200,1001,1,1,1,0,2,1,4,6,1
21.25,2.335,0.5,4,80,1,0,1,1,0,1,2,5,3,1
27.67,13.75,5.75,0,487,501,1,1,0,1,2,2,4,9,1
28.17,0.125,0.085,0,216,2101,1,0,0,0,2,1,4,4,0
42.0,0.205,5.125,0,400,1,1,1,0,0,2,2,8,3,1
42.25,1.75,0.0,0,150,2,0,0,0,1,2,1,4,8,0
19.42,1.5,2.0,0,100,21,1,1,0,1,2,1,4,13,0
31.83,0.04,0.04,0,0,1,1,0,0,0,2,1,4,7,0
20.42,0.0,0.0,0,184,1,1,0,0,0,3,2,4,8,0
46.0,4.0,0.0,0,100,961,0,1,0,0,2,2,3,5,1
53.33,0.165,0.0,0,62,28,0,0,0,1,1,2,1,1,0
38.25,10.125,0.125,0,160,1,1,0,0,0,2,1,4,4,0
17.67,0.0,0.0,0,86,1,0,0,0,0,2,1,1,5,0
31.42,15.5,0.5,0,120,1,1,1,0,0,2,2,4,8,0
39.5,1.625,1.5,0,0,317,1,0,0,0,2,2,4,8,0
33.25,2.5,2.5,0,0,3,0,0,0,1,2,1,4,8,0
18.83,3.54,0.0,0,180,2,1,0,0,1,2,1,1,1,0
49.58,19.0,0.0,1,94,1,1,1,1,0,2,2,1,1,0
17.42,6.5,0.125,0,60,101,1,0,0,0,2,2,4,3,0
34.17,1.54,1.54,1,520,50001,1,1,1,1,2,2,4,13,1
36.08,2.54,0.0,0,0,1001,1,0,0,0,2,2,1,1,0
69.5,6.0,0.0,0,0,1,0,0,0,0,1,2,1,1,0
37.5,1.75,0.25,0,164,401,1,1,0,1,2,1,5,8,0
42.5,4.915,3.165,0,52,1443,1,1,0,1,2,1,4,9,1
40.92,2.25,10.0,0,176,1,1,1,0,1,2,1,8,14,0
24.5,1.04,0.5,3,180,148,0,1,1,0,2,1,1,1,0
34.75,2.5,0.5,0,348,1,1,0,0,0,2,2,5,13,0
25.33,2.085,2.75,0,360,2,0,1,0,1,2,2,8,8,0
23.0,11.75,0.5,2,300,552,0,1,1,1,2,2,8,14,1
31.58,0.75,3.5,0,320,1,1,0,0,1,2,1,4,6,0
58.42,21.0,10.0,13,0,6701,0,1,1,0,2,2,5,3,1
29.58,1.75,1.25,0,280,1,0,0,0,1,2,1,4,4,0
26.17,0.25,0.0,0,0,1,1,1,0,1,2,2,5,3,1
36.17,5.5,5.0,0,210,688,1,0,0,0,2,2,5,3,0
24.5,1.75,0.165,0,132,1,0,0,0,0,2,1,4,8,0
22.5,0.415,0.335,0,144,1,0,0,0,1,1,2,4,3,0
28.75,1.165,0.5,0,280,1,1,1,0,0,1,2,4,4,0
20.0,1.25,0.125,0,140,5,1,0,0,0,2,1,4,4,0
17.92,0.205,0.04,0,280,751,1,0,0,0,2,2,4,6,0
42.83,4.625,4.58,0,0,1,1,1,0,0,1,2,4,11,1
24.83,2.75,2.25,6,184,601,1,1,1,0,2,2,4,8,1
52.5,7.0,3.0,0,0,1,0,0,0,0,2,2,8,6,0
23.5,1.5,0.875,0,160,1,0,0,0,1,2,2,4,9,0
26.67,4.25,4.29,1,120,1,1,1,1,1,2,2,4,13,1
22.17,2.25,0.125,0,160,11,1,0,0,0,2,2,4,3,0
38.92,1.75,0.5,0,300,3,1,0,0,1,2,2,4,4,0
17.92,0.54,1.75,1,80,6,0,0,1,1,2,2,4,8,0
20.75,9.54,0.04,0,200,1001,0,0,0,0,2,2,4,3,0
19.58,0.665,1.0,1,2000,3,0,0,1,0,2,1,4,8,0
36.25,5.0,2.5,6,0,368,1,1,1,0,2,2,5,8,1
25.0,12.0,2.25,2,120,6,1,1,1,1,2,2,4,4,0
23.0,0.75,0.5,0,320,1,1,0,0,1,1,2,4,7,0
39.58,5.0,0.0,2,17,2,1,0,1,0,2,2,1,1,0
31.92,3.125,3.04,2,200,5,0,0,1,1,2,2,1,1,0
21.08,5.0,0.0,0,0,1,0,0,0,0,2,1,1,1,0
27.67,2.0,1.0,4,140,7545,1,1,1,0,2,2,8,14,1
34.08,0.08,0.04,1,280,2001,1,1,1,1,2,1,5,7,1
29.67,1.415,0.75,1,240,101,1,1,1,0,2,2,8,9,1
31.57,10.5,6.5,0,0,1,1,1,0,0,2,2,4,14,1
31.57,0.04,4.25,0,460,1,1,0,0,1,2,1,4,2,0
25.0,12.5,3.0,0,20,1,1,1,0,1,1,2,4,6,1
36.67,2.0,0.25,0,221,1,1,0,0,1,2,2,4,3,0
16.25,0.0,0.25,0,60,1,1,0,0,0,2,1,4,6,0
24.75,3.0,1.835,19,0,501,0,1,1,0,2,2,8,11,1
29.25,13.0,0.5,0,228,1,1,0,0,0,2,2,8,2,0
20.0,7.0,0.5,0,0,1,1,0,0,0,2,2,4,8,0
16.0,0.165,1.0,2,320,2,0,0,1,1,2,2,4,6,0
31.33,19.5,7.0,16,0,5001,1,1,1,0,2,2,4,8,1
17.08,0.085,0.04,0,140,723,1,0,0,0,2,1,4,8,0
30.17,6.5,3.125,8,330,1201,1,1,1,0,2,2,4,13,1
27.42,12.5,0.25,0,720,1,1,0,0,1,2,2,5,6,0
41.5,1.54,3.5,0,216,1,1,0,0,0,2,2,5,3,1
38.75,1.5,0.0,0,76,1,0,0,0,0,2,2,1,1,0
48.17,1.335,0.335,0,0,121,0,0,0,0,2,2,7,3,0
42.75,3.0,1.0,0,0,201,1,1,0,0,2,2,5,3,0
34.17,9.17,4.5,12,0,222,1,1,1,1,2,2,4,8,1
24.5,2.415,0.0,0,120,1,0,0,0,0,2,1,4,8,0
44.33,0.0,2.5,0,0,1,0,1,0,0,2,2,4,8,1
48.33,12.0,16.0,0,110,1,1,1,0,0,1,2,4,7,1
39.92,5.0,0.21,0,550,1,1,0,0,0,2,2,5,3,0
51.42,0.04,0.04,0,0,3001,1,1,0,0,2,2,8,14,1
51.83,3.0,1.5,0,180,5,1,0,0,0,2,1,1,1,0
40.58,1.5,0.0,0,300,1,1,0,0,0,1,2,5,3,0
48.75,26.335,0.0,0,0,1,1,1,0,1,2,1,1,1,0
36.75,0.125,1.5,0,232,114,1,0,0,1,2,1,4,8,1
25.17,6.0,1.0,3,0,1,1,1,1,0,2,2,4,8,1
17.33,9.5,1.75,10,0,11,0,0,1,1,2,2,4,6,0
34.42,4.25,3.25,2,274,611,1,1,1,0,2,2,5,3,1
23.5,3.165,0.415,1,280,81,1,0,1,1,2,1,4,4,0
25.17,3.0,1.25,1,0,23,1,0,1,0,2,2,4,8,0
27.0,0.75,4.25,3,312,151,1,1,1,1,2,2,8,8,1
32.42,3.0,0.165,0,120,1,1,0,0,1,2,2,4,2,0
21.92,0.5,0.125,0,360,1,1,0,0,0,2,2,4,8,0
